,cost,time
0,29.166666666666668,2022-05-11 02:52:00
1,29.166666666666668,2022-05-11 08:44:30
2,29.166666666666668,2022-05-11 09:10:30
3,29.166666666666668,2022-05-11 09:32:00
4,29.166666666666668,2022-05-11 09:53:30
5,29.166666666666668,2022-05-11 10:15:00
6,29.166666666666668,2022-05-11 10:36:30
7,29.166666666666668,2022-05-11 10:58:00
8,29.166666666666668,2022-05-11 11:26:30
9,29.166666666666668,2022-05-11 11:56:30
10,29.166666666666668,2022-05-11 12:26:30
11,29.166666666666668,2022-05-11 12:56:30
12,29.166666666666668,2022-05-11 15:37:30
13,29.166666666666668,2022-05-11 15:49:00
14,29.166666666666668,2022-05-11 16:00:30
15,29.166666666666668,2022-05-11 16:11:00
16,29.166666666666668,2022-05-11 16:22:00
17,29.166666666666668,2022-05-11 16:32:30
18,29.166666666666668,2022-05-11 16:43:30
19,29.166666666666668,2022-05-11 16:54:00
20,29.166666666666668,2022-05-11 17:04:00
21,29.166666666666668,2022-05-11 17:13:00
22,29.166666666666668,2022-05-11 17:22:00
23,29.166666666666668,2022-05-11 17:30:30
24,29.166666666666668,2022-05-11 17:39:30
25,29.166666666666668,2022-05-11 17:48:30
26,29.166666666666668,2022-05-11 17:57:30
27,29.166666666666668,2022-05-11 18:06:00
28,29.166666666666668,2022-05-11 18:15:00
29,29.166666666666668,2022-05-11 18:24:00
30,29.166666666666668,2022-05-11 18:33:00
31,29.166666666666668,2022-05-11 18:41:30
32,29.166666666666668,2022-05-11 18:50:30
33,29.166666666666668,2022-05-11 18:59:30
34,29.166666666666668,2022-05-11 19:07:00
35,29.166666666666668,2022-05-11 19:14:30
36,29.166666666666668,2022-05-11 19:22:00
37,29.166666666666668,2022-05-11 19:29:30
38,29.166666666666668,2022-05-11 19:37:00
39,29.166666666666668,2022-05-11 19:44:30
40,29.166666666666668,2022-05-11 19:52:00
41,29.166666666666668,2022-05-11 19:59:30
42,29.166666666666668,2022-05-11 20:07:00
43,29.166666666666668,2022-05-11 20:14:30
44,29.166666666666668,2022-05-11 20:22:00
45,29.166666666666668,2022-05-11 20:29:30
46,29.166666666666668,2022-05-11 20:37:00
47,29.166666666666668,2022-05-11 20:44:30
48,29.166666666666668,2022-05-11 20:52:00
49,29.166666666666668,2022-05-11 20:59:30
50,29.166666666666668,2022-05-11 21:07:00
51,29.166666666666668,2022-05-11 21:14:30
52,29.166666666666668,2022-05-11 21:22:00
53,29.166666666666668,2022-05-11 21:29:30
54,29.166666666666668,2022-05-11 21:37:00
55,29.166666666666668,2022-05-11 21:44:30
56,29.166666666666668,2022-05-11 21:52:00
57,29.166666666666668,2022-05-11 21:59:30
58,29.166666666666668,2022-05-11 22:07:30
59,29.166666666666668,2022-05-11 22:15:30
60,29.166666666666668,2022-05-11 22:23:00
61,29.166666666666668,2022-05-11 22:31:00
62,29.166666666666668,2022-05-11 22:39:00
63,29.166666666666668,2022-05-11 22:46:30
64,29.166666666666668,2022-05-11 22:54:30
65,29.166666666666668,2022-05-11 23:02:30
66,29.166666666666668,2022-05-11 23:10:30
67,29.166666666666668,2022-05-11 23:18:00
68,29.166666666666668,2022-05-11 23:26:00
69,29.166666666666668,2022-05-11 23:34:00
70,29.166666666666668,2022-05-11 23:41:30
71,29.166666666666668,2022-05-11 23:49:30
72,29.166666666666668,2022-05-11 23:57:30
73,29.166666666666668,2022-05-12 00:08:30
74,29.166666666666668,2022-05-12 00:22:30
75,29.166666666666668,2022-05-12 00:36:00
76,29.166666666666668,2022-05-12 00:49:30
77,29.166666666666668,2022-05-12 01:03:30
78,29.166666666666668,2022-05-12 01:20:30
79,29.166666666666668,2022-05-12 01:37:00
80,29.166666666666668,2022-05-12 01:53:30
81,29.166666666666668,2022-05-12 02:13:00
82,29.166666666666668,2022-05-12 02:34:30
83,29.166666666666668,2022-05-12 02:56:00
84,29.166666666666668,2022-05-12 03:15:30
85,29.166666666666668,2022-05-12 03:34:30
86,29.166666666666668,2022-05-12 03:53:30
87,29.166666666666668,2022-05-12 04:12:30
88,29.166666666666668,2022-05-12 04:31:30
89,29.166666666666668,2022-05-12 04:50:30
90,29.166666666666668,2022-05-12 05:12:30
91,29.166666666666668,2022-05-12 05:38:00
92,29.166666666666668,2022-05-12 06:03:00
93,29.166666666666668,2022-05-12 06:28:30
94,29.166666666666668,2022-05-12 06:54:00
95,29.166666666666668,2022-05-12 07:36:30
96,29.166666666666668,2022-05-12 08:25:00
97,29.166666666666668,2022-05-12 09:13:00
98,29.166666666666668,2022-05-12 10:01:30
99,29.166666666666668,2022-05-12 10:39:00
100,29.166666666666668,2022-05-12 11:16:30
101,29.166666666666668,2022-05-12 11:54:00
102,29.166666666666668,2022-05-12 12:31:30
103,29.166666666666668,2022-05-12 13:06:30
104,29.166666666666668,2022-05-12 13:31:30
105,29.166666666666668,2022-05-12 13:57:00
106,29.166666666666668,2022-05-12 14:11:30
107,29.166666666666668,2022-05-12 14:24:00
108,29.166666666666668,2022-05-12 14:36:00
109,29.166666666666668,2022-05-12 14:48:30
110,29.166666666666668,2022-05-12 15:01:00
111,29.166666666666668,2022-05-12 15:11:30
112,29.166666666666668,2022-05-12 15:22:30
113,29.166666666666668,2022-05-12 15:33:00
114,29.166666666666668,2022-05-12 15:44:00
115,29.166666666666668,2022-05-12 15:54:30
116,29.166666666666668,2022-05-12 16:05:00
117,29.166666666666668,2022-05-12 16:16:00
118,29.166666666666668,2022-05-12 16:26:30
119,29.166666666666668,2022-05-12 16:37:30
120,29.166666666666668,2022-05-12 16:48:00
121,29.166666666666668,2022-05-12 16:59:00
122,29.166666666666668,2022-05-12 17:07:30
123,29.166666666666668,2022-05-12 17:16:00
124,29.166666666666668,2022-05-12 17:24:00
125,29.166666666666668,2022-05-12 17:32:30
126,29.166666666666668,2022-05-12 17:41:00
127,29.166666666666668,2022-05-12 17:49:00
128,29.166666666666668,2022-05-12 17:57:30
129,29.166666666666668,2022-05-12 18:06:00
130,29.166666666666668,2022-05-12 18:14:00
131,29.166666666666668,2022-05-12 18:22:30
132,29.166666666666668,2022-05-12 18:31:00
133,29.166666666666668,2022-05-12 18:39:00
134,29.166666666666668,2022-05-12 18:47:30
135,29.166666666666668,2022-05-12 18:56:00
136,29.166666666666668,2022-05-12 19:04:00
137,29.166666666666668,2022-05-12 19:11:30
138,29.166666666666668,2022-05-12 19:19:00
139,29.166666666666668,2022-05-12 19:26:30
140,29.166666666666668,2022-05-12 19:34:00
141,29.166666666666668,2022-05-12 19:41:30
142,29.166666666666668,2022-05-12 19:49:00
143,29.166666666666668,2022-05-12 19:56:30
144,29.166666666666668,2022-05-12 20:04:00
145,29.166666666666668,2022-05-12 20:11:30
146,29.166666666666668,2022-05-12 20:19:00
147,29.166666666666668,2022-05-12 20:26:30
148,29.166666666666668,2022-05-12 20:34:00
149,29.166666666666668,2022-05-12 20:41:30
150,29.166666666666668,2022-05-12 20:49:00
151,29.166666666666668,2022-05-12 20:56:30
152,29.166666666666668,2022-05-12 21:04:00
153,29.166666666666668,2022-05-12 21:11:30
154,29.166666666666668,2022-05-12 21:19:00
155,29.166666666666668,2022-05-12 21:26:30
156,29.166666666666668,2022-05-12 21:34:00
157,29.166666666666668,2022-05-12 21:41:30
158,29.166666666666668,2022-05-12 21:49:00
159,29.166666666666668,2022-05-12 21:56:30
160,29.166666666666668,2022-05-12 22:04:00
161,29.166666666666668,2022-05-12 22:11:30
162,29.166666666666668,2022-05-12 22:19:00
163,29.166666666666668,2022-05-12 22:26:30
164,29.166666666666668,2022-05-12 22:34:00
165,29.166666666666668,2022-05-12 22:41:30
166,29.166666666666668,2022-05-12 22:49:00
167,29.166666666666668,2022-05-12 22:56:30
168,29.166666666666668,2022-05-12 23:04:30
169,29.166666666666668,2022-05-12 23:14:00
170,29.166666666666668,2022-05-12 23:23:30
171,29.166666666666668,2022-05-12 23:33:00
172,29.166666666666668,2022-05-12 23:42:00
173,29.166666666666668,2022-05-12 23:51:30
174,29.166666666666668,2022-05-13 00:01:00
175,29.166666666666668,2022-05-13 00:13:30
176,29.166666666666668,2022-05-13 00:26:00
177,29.166666666666668,2022-05-13 00:38:00
178,29.166666666666668,2022-05-13 00:50:30
179,29.166666666666668,2022-05-13 01:07:30
180,29.166666666666668,2022-05-13 01:45:00
181,29.166666666666668,2022-05-13 02:44:00
182,29.166666666666668,2022-05-13 03:59:00
183,29.166666666666668,2022-05-13 05:07:30
184,29.166666666666668,2022-05-13 05:45:00
185,29.166666666666668,2022-05-13 06:18:00
186,29.166666666666668,2022-05-13 06:48:00
187,29.166666666666668,2022-05-13 07:18:00
188,29.166666666666668,2022-05-13 07:48:00
189,29.166666666666668,2022-05-13 08:18:00
190,29.166666666666668,2022-05-13 08:48:00
191,29.166666666666668,2022-05-13 09:44:00
192,29.166666666666668,2022-05-13 11:46:30
193,29.166666666666668,2022-05-13 13:08:00
194,29.166666666666668,2022-05-13 14:09:30
195,29.166666666666668,2022-05-13 14:39:30
196,29.166666666666668,2022-05-13 15:05:30
197,29.166666666666668,2022-05-13 15:22:30
198,29.166666666666668,2022-05-13 15:39:00
199,29.166666666666668,2022-05-13 15:55:30
200,29.166666666666668,2022-05-13 16:11:00
201,29.166666666666668,2022-05-13 16:26:00
202,29.166666666666668,2022-05-13 16:41:00
203,29.166666666666668,2022-05-13 16:55:30
204,29.166666666666668,2022-05-13 17:08:30
205,29.166666666666668,2022-05-13 17:20:00
206,29.166666666666668,2022-05-13 17:31:30
